category,query,solution
Inflight Health & Wellness,What is the requirement for travelling with service animals?,"At Air India, we understand the importance of accommodating passengers who rely on service animals for assistance. Here are the requirements and guidelines for travelling with service animals:

If you have a service dog trained to assist passengers with impaired vision or hearing, your furry companion can travel with you free of charge.

To bring your service animal on board, you must provide medically established or supported documents that validate your need for the service animal.

To ensure the safety and comfort of all passengers, the service dog must be properly harnessed and muzzled.

While the service dog may be permitted to enter the cabin, please note that it cannot occupy a seat.

It’s essential to request your service dog’s accommodation when booking your flight.

Be aware that individual country regulations for the carriage of service dogs must be met. For example, in the US, service dogs in training do not qualify as service animals.

We understand the unique needs of your passengers. When booking your flight, please inform us of your service animal so we can ensure a seamless journey for you and your furry helper."
Inflight Health & Wellness,What can I do to prevent earache during takeoff and landing?,"Sometimes, air travel can cause mild discomfort, especially during take-off and landing, due to changes in cabin pressure. To prevent earaches and reduce discomfort, consider the following tips:

Chew gum or suck on candy: This can help regulate the pressure in your ears by promoting jaw movement.

Yawn or swallow: Gently yawning or swallowing can help equalise the pressure in your ears. You can do this consciously, especially during ascent and descent.

Stay hydrated: Drink plenty of water before and during your flight. Staying hydrated can help keep the mucous membranes in your ears moist.

Earplugs or cotton plugs: Consider using filtered earplugs or cotton plugs for air travel. They can help regulate pressure changes during the flight.

Nasal decongestants: If you have sinus congestion, consider using a nasal decongestant before your flight, following your doctor’s recommendations.

Ear drops: Over-the-counter ear drops, like those used for swimmers, may help alleviate ear discomfort by lubricating the ear canal."
Inflight Health & Wellness,There is a major time difference on my trip. How can I avoid jet lag?,"To prevent or reduce jet lag during long flights with significant time differences, consider these key fixes:

Adjust your sleep schedule: Gradually shift your sleep cycle before your departure to align with your destination’s time zone.

Stay hydrated: Drink plenty of water before and after your flight to prevent dehydration.

Limit alcohol and caffeine: Avoid excessive alcohol or caffeine consumption during the flight, as they can disrupt sleep.

Sleep on the flight: If your journey coincides with nighttime at your destination, try to rest on the plane.

Stay active: Perform in-seat exercises to improve circulation.

Stay awake until local bedtime: Upon arrival, resist the urge to sleep until the local bedtime to aid in adjusting to the new time zone.

Maintain patience: Understand that your body may take a day or two to fully adapt."
Inflight Health & Wellness,"Where do I find current Covid-19 policies for travellers, such as vaccination or test requirements?","In most places, requirements to carry proof of vaccination or show negative PRC test results have been lifted. Policies may be dynamic and vary by country. We recommend you check the official government website for your destination for the most up-to-date information.

 

If you are visiting India, read Covid-19 guidelines from the Minisitry of Health and Family Welfare, Govt. of India(opens in a new tab)."
Young Passengers,What are the documents required for young passengers travelling alone with Air India?,"We identify minors above the age of 12 and below the age of 18 as young passengers, who are allowed to travel on their own. No paperwork is required for their safe journey. However, here are a few points to remember when planning a journey for young passengers:

At the airport

They will need to report to the check-in counter and identify themselves with a valid ID proof. In case you require special handling services, we can provide it upon request by a parent or guardian.

Exceptions - Requirement of the UK Border Force

If your child is a young passenger travelling to the UK without a parent or legal guardian, they are to bring a written consent as per the UK Border Force along with a consent form signed by both parents.

For more information about minors travelling from the UK, you can visit here(opens in a new tab)."
Accompanied Minors,My child is travelling with a relative/caretaker. What documents are required?,"If your child is travelling with a guardian, you should ensure that the following documents are available for proof at the time of boarding:

A consent letter or affidavit(opens in a new tab) signed by both parents.

Photocopies of relevant pages of both parents' passport.

Original passport of both parents for signature authentication and verification at the check-in counter. Please ensure that the signature on the consent letter and passport match to avoid any complications.

Photocopy of the death certificate in case one or both parents are deceased.

In case your child is below the age of 18 and leaving their country of residence, additional documents maybe required. For further details we suggest you contact the nearest consulate."
Infant,What documents do I need to carry when travelling with an infant?,"If you are travelling with your baby who is over 7 days and under 2 years of age on the date of travel, you will need to produce the following documents during check-in:

Birth certificate of the baby
Vaccination certificate of the baby
Passport is mandatory in case of international travel

Special cases

In special cases you may be allowed to travel with your infant below 7 days of age for medical reasons. In such cases, please ensure that you carry a medical certificate signed by a paediatrician and obtain prior clearance from Air India's medical department.

Additional information

If you are unable to produce valid proof of age as listed above, an adult fare as applicable on the date of booking will be charged for the infant to be allowed to travel, subject to availability of seats."
Infant,How many infants are allowed to travel with one adult?,"As per our rules, designed for the safety and comfort of all our passengers, only one infant can travel in the care of an adult.

If you are travelling with more than one infant under two years of age, each of them should be accompanied by an adult traveller aged 18 years or above.

Please note that infants must be booked in the same cabin and fare type as the accompanying adult for all segments or sectors of the journey. "
Infant,Can I use a seat extender on a flight when travelling with a child?,We do not allow the use of child airplane seat extenders onboard our flights.
Infant,Can I get a bassinet for my baby on an Air India flight?,"We are happy to provide infant bassinets free of cost, subject to availability on our flights. You can request a bassinet at the time of booking your flights or when checking in at the airport. Alternatively, you can raise a request for the same on our customer support portal, and an executive will assist you."
